Species,2FL,3FL,3SL,6SL,DFL,LNT,LNNT
B. breve,0.008682715,0.004962458,0.000565737,0.000309145,0.003367101,0.043503558,0.003196387
B. fragilis,0.728313294,0.833891775,0.977909769,0.984426149,0.87564072,0.740857925,0.822859396
B. bifidum,0.000862393,0.000544764,0,5.42E-06,0.00013873,0.000821047,0.000389931
A. caccae,0.023364667,0.010651127,0.00885034,0.003777967,0.006174984,0.023769992,0.004428922
B. pseudocatenulatum,0.00288826,0.003149377,0.000190973,0.000122606,0.00215366,0.010078656,0.00090425
B. luti,0.079727422,0.048434629,0.005721725,0.006298649,0.045719603,0.032377109,0.01493952
C. aerofaciens,0.017691476,0.005958283,0.006086343,0.004698559,0.003290644,0.01166537,0.008879718
B. infantis,0.138469772,0.092407586,0.000675112,0.000361503,0.063514558,0.136926342,0.144401875
